Symbol,fundamental_score,score_short,score_medium,score_long,combined_strength
AEGISLOG.NS,30,10,50,10,24.0
KPRMILL.NS,30,10,50,10,24.0
UCOBANK.NS,80,10,50,10,24.0
TRIVENI.NS,40,10,50,10,24.0
FIVESTAR.NS,55,10,50,10,24.0
APLAPOLLO.NS,30,10,50,10,24.0
DRREDDY.NS,55,30,10,30,23.0
WIPRO.NS,55,30,10,30,23.0
ZFCVINDIA.NS,30,30,10,30,23.0
JUBLINGREA.NS,40,30,10,30,23.0
KPITTECH.NS,30,30,30,10,22.0
TRITURBINE.NS,30,30,30,10,22.0
BSOFT.NS,55,30,30,10,22.0
ICICIPRULI.NS,30,30,30,10,22.0
HEXT.NS,30,50,10,10,20.0
SBFC.NS,40,10,10,30,18.0
MARICO.NS,30,10,10,30,18.0
SWANCORP.NS,50,10,10,30,18.0
SARDAEN.NS,55,10,10,30,18.0
POLICYBZR.NS,30,10,10,30,18.0
ZYDUSLIFE.NS,55,10,10,30,18.0
PATANJALI.NS,30,10,10,30,18.0
CIPLA.NS,55,10,10,30,18.0
ITCHOTELS.NS,30,10,10,30,18.0
APOLLOHOSP.NS,30,10,10,30,18.0
RHIM.NS,40,10,10,30,18.0
KIMS.NS,30,10,10,30,18.0
BHARTIHEXA.NS,30,10,10,30,18.0
ABSLAMC.NS,45,10,10,30,18.0
SYNGENE.NS,30,10,10,30,18.0
GODFRYPHLP.NS,30,10,10,30,18.0
EIDPARRY.NS,55,10,10,30,18.0
DEEPAKFERT.NS,55,10,10,30,18.0
EIHOTEL.NS,30,10,10,30,18.0
GRASIM.NS,50,10,10,30,18.0
LTFOODS.NS,55,10,10,30,18.0
PETRONET.NS,80,10,30,10,17.0
TRIDENT.NS,40,10,30,10,17.0
TATAPOWER.NS,40,10,30,10,17.0
FLUOROCHEM.NS,30,10,30,10,17.0
ITC.NS,30,10,30,10,17.0
RECLTD.NS,80,10,30,10,17.0
TORNTPOWER.NS,55,10,30,10,17.0
KFINTECH.NS,30,10,30,10,17.0
SUNTV.NS,80,10,30,10,17.0
BDL.NS,30,10,30,10,17.0
ABB.NS,20,10,30,10,17.0
INOXINDIA.NS,30,10,30,10,17.0
