Symbol,fundamental_score
TATAPOWER.NS,40
PPLPHARMA.NS,30
TRIDENT.NS,40
LT.NS,30
STARHEALTH.NS,40
ITC.NS,30
NH.NS,30
SUZLON.NS,45
BAJAJHFL.NS,30
HBLENGINE.NS,30
TCS.NS,45
EICHERMOT.NS,30
M&M.NS,30
ICICIBANK.NS,55
NAUKRI.NS,50
SONACOMS.NS,30
SONATSOFTW.NS,45
BIOCON.NS,50
CREDITACC.NS,40
GUJGASLTD.NS,55
JSL.NS,55
NUVAMA.NS,30
JSWENERGY.NS,40
KOTAKBANK.NS,55
BAJFINANCE.NS,30
TORNTPOWER.NS,55
BLS.NS,45
USHAMART.NS,30
JYOTHYLAB.NS,30
TATACONSUM.NS,30
KAYNES.NS,30
IRCTC.NS,30
INTELLECT.NS,30
HDFCBANK.NS,55
GPIL.NS,55
ZEEL.NS,65
REDINGTON.NS,70
SKFINDIA.NS,55
TITAGARH.NS,30
ASTERDM.NS,30
BDL.NS,30
KEC.NS,40
POLYMED.NS,30
SAILIFE.NS,30
MARICO.NS,30
BPCL.NS,80
ZFCVINDIA.NS,30
GRAVITA.NS,30
APOLLOTYRE.NS,40
INFY.NS,45
NATCOPHARM.NS,80
GSPL.NS,65
KEI.NS,30
DCMSHRIRAM.NS,40
JYOTICNC.NS,30
LTTS.NS,30
CGCL.NS,55
BOSCHLTD.NS,30
RECLTD.NS,80
TATAELXSI.NS,30
CYIENT.NS,55
CRISIL.NS,20
GODFRYPHLP.NS,30
BSOFT.NS,55
NUVOCO.NS,50
WELSPUNLIV.NS,40
IOC.NS,80
MAZDOCK.NS,30
AEGISVOPAK.NS,20
TATATECH.NS,30
NAVINFLUOR.NS,30
HOMEFIRST.NS,55
BBTC.NS,70
MAPMYINDIA.NS,30
HINDPETRO.NS,80
CASTROLIND.NS,35
LTIM.NS,30
PAYTM.NS,20
TEJASNET.NS,30
TBOTEK.NS,30
TRENT.NS,30
COHANCE.NS,30
TATAINVEST.NS,50
APLAPOLLO.NS,30
MSUMI.NS,30
NLCINDIA.NS,80
TMPV.NS,80
PRAJIND.NS,30
AJANTPHARM.NS,30
ECLERX.NS,30
SCHAEFFLER.NS,20
NEWGEN.NS,30
SJVN.NS,40
DIXON.NS,30
HAPPSTMNDS.NS,30
BERGEPAINT.NS,30
IPCALAB.NS,30
NAM-INDIA.NS,30
ENRIN.NS,30
ENGINERSIN.NS,45
APTUS.NS,55
WOCKPHARMA.NS,20
AAVAS.NS,55
AWL.NS,40
AFFLE.NS,30
FIVESTAR.NS,55
KPITTECH.NS,30
VGUARD.NS,30
GESHIP.NS,80
BLUESTARCO.NS,30
ASAHIINDIA.NS,30
VTL.NS,80
IGL.NS,55
SUNDRMFAST.NS,30
IKS.NS,30
KPRMILL.NS,30
SCHNEIDER.NS,30
SWIGGY.NS,20
PREMIERENE.NS,30
ACC.NS,80
SWANCORP.NS,50
CLEAN.NS,30
ADANIENT.NS,30
ERIS.NS,30
DEEPAKNTR.NS,40
PVRINOX.NS,40
TATACOMM.NS,30
MAHSCOOTER.NS,50
SCI.NS,80
KIRLOSBROS.NS,30
ELGIEQUIP.NS,30
RITES.NS,30
RCF.NS,65
HONAUT.NS,30
RELINFRA.NS,80
ITI.NS,20
AIIL.NS,70
ESCORTS.NS,40
POWERGRID.NS,55
VIJAYA.NS,30
