Symbol,Weekly_StdDev,Weekly_ATR,Weekly_WoW,Trend_13W
JPPOWER.NS,8.424351243755675,0.7175002098083496,-3.118394028587446,-1.8736636817545973
GODREJPROP.NS,5.399647049399452,84.24996948242188,-2.184973110999342,-5.048477028849952
INDIANB.NS,5.800816545017084,24.362503051757812,-3.3809303675607296,11.418385685807198
RHIM.NS,5.3115410465586566,12.800010681152344,-1.4888601785194646,-9.062727198588542
CHOLAFIN.NS,4.4663138218568825,40.375,-0.47966069758554886,8.246901072252902
KPIL.NS,5.070687632056102,39.100006103515625,0.05148237286498724,-8.116627265563437
YESBANK.NS,5.636936892403327,0.6025004386901855,-3.0088508570704695,3.5427491605909163
AUBANK.NS,4.537448813211019,22.0625,1.2959313051771115,35.404203128597345
CAMPUS.NS,5.056114475376834,8.887489318847656,-3.486044126667048,-6.6878460557040835
LUPIN.NS,3.686995709236184,36.024932861328125,-0.7718672953586179,1.3134850514350922
DELHIVERY.NS,5.582285943460094,15.362503051757812,1.7301037801292254,-14.035084252865548
HINDCOPPER.NS,8.290680516244043,15.287490844726562,-4.7599870691151525,25.203285101042688
HINDZINC.NS,5.2353181569318075,14.787490844726562,4.798232002333575,15.219073847219589
KARURVYSYA.NS,5.34909832215228,5.885002136230469,-2.562966257014954,11.331614992312291
WELCORP.NS,6.510179473299773,27.862503051757812,-4.089038082660182,-12.281478369020126
VEDL.NS,5.256722395319094,14.337486267089844,0.8579599618684461,16.110621798325298
JMFINANCIL.NS,5.667294852068449,5.660003662109375,1.0235753993771968,-15.782806661799192
ABLBL.NS,3.9632749765003537,3.6025009155273438,0.2489241990144876,-8.887165658404223
SOBHA.NS,7.014430182192648,55.850006103515625,-8.63571625773616,-11.923267113451779
THELEELA.NS,3.9195034937895343,11.949996948242188,-1.7221888380931805,-6.873140227162746
BANKBARODA.NS,4.905432424850933,7.587493896484375,-2.682845502312963,12.960170553648645
SBFC.NS,4.003521520738563,2.1850013732910156,-1.0821435332748799,-2.1593444174477376
NAVA.NS,7.252049074142394,25.375,7.598783842102614,-20.598335763895186
CEATLTD.NS,5.234362880266817,111.12493896484375,-3.4042336206313673,11.121251887467574
BHEL.NS,6.454885223082098,8.762496948242188,-0.5040482075551306,16.51979940003241
HEROMOTOCO.NS,3.6491303637365946,161.875,-5.834186284544525,10.576923076923077
IDFCFIRSTB.NS,4.429749377944494,2.125001907348633,-0.3338744445292469,12.334492646858667
BALKRISIND.NS,3.89549375476456,37.85003662109375,-2.5514078400388165,-7.790265781329948
FINPIPE.NS,5.111937750192059,5.227497100830078,-1.9748190742345975,-23.57090416485739
